"","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","stockid","primary_FAOarea","scientificname","fao_sp"
"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31000,32000,35700,36600,42700,39300,38800,32600,29000,25100,28200,37000,40400,38100,34900,33500,30100,32900,39700,43600,34200,29200,22200,23000,21200,17900,16100,16200,18100,17200,12000,9550,7270,7490,6540,4700,4470,3620,3230,2710,2210,2650,3670,3080,3990,5570,7330,8090,8650,NA,NA,"CODIS","27","Gadus morhua","27_Gadus morhua"
"54",2830000,3650000,4050000,4120000,4260000,3560000,3330000,2820000,2420000,2760000,2420000,2400000,2160000,1960000,1500000,1470000,2280000,2780000,3220000,2740000,2080000,1630000,1620000,2270000,2210000,2120000,2010000,1980000,1600000,1110000,838000,960000,734000,707000,811000,986000,1340000,1200000,1e+06,1e+06,1020000,1530000,1870000,2300000,2100000,1810000,1680000,1500000,1270000,1150000,1180000,1460000,1620000,1720000,1620000,1560000,1570000,1960000,2700000,3440000,3810000,4020000,4150000,4360000,3930000,3620000,3130000,3040000,2620000,"CODNEAR","27","Gadus morhua","27_Gadus morhua"
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15300,12800,11700,10700,12600,12200,12500,13800,16300,22800,20700,19000,18500,17100,21800,20900,28400,41400,37600,25100,19500,21900,21000,26300,26000,26400,23400,19700,16100,15300,19000,16000,11300,7220,7550,8970,10400,9020,9230,17800,17100,17200,11500,9490,9360,10300,NA,NA,"CODVIIek","27","Gadus morhua","27_Gadus morhua"
"56",2210,2210,2200,2220,2240,2240,2240,2220,2210,2210,2210,2200,2190,2190,2190,2190,2170,2150,2100,2040,1980,1940,1900,1810,1710,1600,1490,1390,1290,1190,1030,911,809,600,548,444,364,295,313,329,400,464,522,557,583,587,596,586,589,602,613,636,670,711,749,791,829,867,895,927,958,990,1020,1050,1080,1120,NA,NA,NA,"COWCODSCAL","77","Sebastes levis","77_Sebastes levis"
"57",5370,5350,5310,5290,5270,5250,5210,5170,5130,5070,5030,5010,5010,5000,4970,4950,4890,4790,4690,4580,4470,4320,4200,4010,3800,3550,3320,3120,2920,2770,2570,2340,2090,1920,1900,1900,1820,1790,1890,1910,1920,1930,1920,1910,1930,1970,2030,2020,2060,2120,2170,2270,2370,2490,2590,2700,2770,2870,2930,3020,3090,3180,3250,3290,NA,NA,NA,NA,NA,"CPRROCKPCOAST","77","Sebastes caurinus","77_Sebastes caurinus"
"58",28000,25700,23600,21500,19400,17400,15400,13600,12300,11800,10800,9090,7900,7350,6120,4440,2440,1800,1320,1020,1130,1430,1450,1350,1210,1270,1190,1050,1060,1030,1010,979,932,883,843,822,813,874,836,771,676,685,670,621,587,572,568,535,504,541,556,603,641,684,903,900,874,868,827,853,800,736,723,665,621,NA,NA,NA,NA,"CRLOBSTERSA12","47","Jasus lalandii","47_Jasus lalandii"
"59",76400,70800,65200,60500,56000,51800,47700,43500,39600,35700,31600,27800,24200,20700,17600,14900,12500,10300,9110,8300,7700,6510,6760,7170,6820,5830,4690,4310,4800,5080,5370,5670,6010,6460,6400,6160,5290,4890,4240,3310,2520,2190,1880,1690,1680,1750,1950,1840,1830,1880,2010,2120,2240,2330,2530,2680,2810,2820,3120,3230,3360,3660,3880,4300,4860,NA,NA,NA,NA,"CRLOBSTERSA34","47","Jasus lalandii","47_Jasus lalandii"
"60",104000,95600,87300,80500,74000,68000,62000,56000,50500,45000,39200,34000,28900,24100,19800,16000,12700,9690,7960,7790,7750,7770,8140,9030,9760,10200,10100,9600,8990,8120,6860,6550,6460,6670,6610,6340,5440,5000,4340,3490,2780,2260,1800,1520,1420,1510,1680,1720,1700,1730,1840,1870,1870,1760,1720,1700,1760,1800,2120,2370,2610,2970,3110,3390,3590,NA,NA,NA,NA,"CRLOBSTERSA56","47","Jasus lalandii","47_Jasus lalandii"
"61",56500,50900,45300,40600,36200,32000,28100,24500,21500,18800,16000,13800,11700,9810,8310,7160,6320,5420,8110,10300,12000,15100,19600,17800,15800,14300,13300,11800,9680,8380,9300,10000,10200,9830,9000,7450,6120,5410,5770,5170,4230,3500,3200,3680,3950,4640,6000,6150,5790,5520,6040,5920,6220,5180,4720,3900,3510,2950,3270,2930,2870,2900,2720,2610,2860,NA,NA,NA,NA,"CRLOBSTERSA7","47","Jasus lalandii","47_Jasus lalandii"
"62",43400,39700,36100,33000,30100,27400,24800,22400,20100,18100,15900,13800,11900,10200,8640,7200,5920,4870,4510,4540,4480,4560,5810,7490,8030,8130,7930,7630,7750,8410,8090,8720,9750,11600,12700,13600,12600,13100,13300,12600,11100,10100,9430,9260,9520,10400,12700,12800,12000,11500,12300,12600,12600,11800,11500,10500,9810,7790,8720,9010,9010,9070,8390,8270,8860,NA,NA,NA,NA,"CRLOBSTERSA8","47","Jasus lalandii","47_Jasus lalandii"
"63",53500,52300,51300,50400,49700,48800,47900,46700,45400,44500,43600,42600,41800,40800,40600,40200,40200,38500,39000,38400,38900,39000,38800,39900,39500,39000,38700,38900,39100,36800,35900,33300,31300,27800,25600,24500,23800,23000,21300,20400,18600,17400,15800,14600,14200,14800,15500,15900,16100,16500,17500,19000,20800,22300,23800,25100,26700,28100,29600,30800,31600,32300,33500,34000,34800,36000,NA,NA,NA,"CROCKPCOAST","67","Sebastes pinniger","67_Sebastes pinniger"
"64",25400,25300,25300,25400,26000,26500,26800,27000,27000,26900,26600,26200,25500,24400,23600,23200,22700,22100,21800,20800,20100,19600,19100,19100,18400,17600,16900,15800,15200,14400,14300,14500,14800,14800,14100,13000,12300,11900,11400,10600,9810,9130,8580,7950,7580,7170,7060,7080,7030,6820,6470,6250,6060,5930,6000,6280,6620,7310,8140,8890,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CROCKWCVANISOGQCI","67","Sebastes pinniger","67_Sebastes pinniger"
"65",1050000,997000,893000,786000,703000,597000,536000,520000,474000,462000,498000,489000,505000,494000,525000,544000,527000,533000,560000,595000,596000,601000,599000,616000,623000,627000,615000,610000,539000,547000,539000,551000,554000,572000,583000,593000,615000,627000,621000,605000,546000,502000,485000,479000,470000,483000,520000,525000,530000,488000,486000,480000,480000,491000,506000,529000,550000,585000,629000,677000,709000,721000,717000,731000,NA,NA,NA,NA,NA,"CTRACSA","47","Trachurus capensis","47_Trachurus capensis"
"66",2260000,2260000,2250000,2250000,2250000,2240000,2230000,2210000,2170000,2100000,2010000,1890000,1770000,1640000,1490000,1360000,1200000,1060000,939000,856000,765000,712000,615000,482000,416000,378000,385000,359000,378000,387000,404000,418000,445000,476000,522000,552000,547000,533000,544000,571000,596000,612000,613000,614000,615000,626000,633000,613000,586000,539000,511000,489000,472000,452000,432000,433000,451000,477000,489000,513000,541000,560000,570000,564000,547000,517000,NA,NA,NA,"DEEPCHAKESA","47","Merluccius paradoxus","47_Merluccius paradoxus"
"67",34800,34800,34800,34900,35000,35100,35200,35300,35300,35400,35500,35500,35600,35500,35400,35400,35100,31000,28200,26100,26200,26300,26200,26000,25500,25300,25100,24700,24600,24300,23800,23300,22800,22000,21300,20300,18900,17900,15800,14400,13500,12100,11200,10800,9810,9140,8570,8140,7720,7230,7410,7860,8580,9330,10100,10800,11600,12300,12900,13500,14100,14700,15500,16300,17000,17900,NA,NA,NA,"DKROCKPCOAST","67","Sebastes crameri","67_Sebastes crameri"
"68",788000,778000,767000,756000,748000,740000,733000,727000,723000,721000,722000,724000,730000,736000,743000,752000,763000,775000,791000,807000,820000,830000,839000,840000,838000,833000,823000,809000,794000,777000,756000,741000,722000,698000,677000,658000,638000,623000,607000,593000,581000,576000,571000,573000,581000,597000,613000,627000,641000,656000,668000,679000,691000,704000,714000,722000,726000,726000,719000,708000,696000,685000,NA,NA,NA,NA,NA,NA,NA,"DSOLEPCOAST","67","Microstomus pacificus","67_Microstomus pacificus"
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27600,27100,27200,28600,30000,31500,32700,35100,36900,39200,41100,43900,45400,49000,53500,58400,60400,62900,65000,69000,71500,74400,78700,79300,81800,85800,88300,90700,93100,94200,93900,91700,88500,85000,81000,77200,71900,67400,63100,NA,NA,NA,"DUSROCKGA","67","Sebastes variabilis","67_Sebastes variabilis"
"70",4400,2960,2670,2270,1980,2300,2310,2300,2100,1970,1730,1310,1100,1180,1420,1830,2260,2960,3120,3050,2750,2270,2350,3320,3830,3750,4630,4350,4020,4050,2670,2690,2920,3470,3320,2780,3180,3600,3270,4150,4070,3720,3980,4830,4620,4540,3910,5510,3010,2900,3110,3410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESOLEHS","67","Parophrys vetulus","67_Parophrys vetulus"
"71",31000,27500,26600,26700,27900,29700,32100,33100,34000,35400,35400,38900,39900,40400,43200,44500,44300,42400,40900,40800,42900,45200,44300,44700,44900,44900,43600,40800,39700,37200,34200,31700,28900,26900,26700,27100,26800,26600,25400,24400,23300,23000,22200,21900,22000,23700,25400,28000,33100,41400,49600,56800,64700,69400,72100,72800,71800,69900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESOLEPCOAST","67","Parophrys vetulus","67_Parophrys vetulus"
"72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119000,145000,198000,248000,304000,353000,421000,510000,576000,635000,690000,761000,824000,893000,925000,952000,958000,963000,953000,940000,913000,883000,855000,826000,812000,803000,783000,785000,788000,811000,813000,810000,795000,776000,752000,738000,710000,739000,738000,NA,NA,NA,"FLSOLEBSAI","67","Hippoglossoides elassodon","67_Hippoglossoides elassodon"
"73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8140,8170,8200,8250,8280,8350,8290,8120,8070,7930,7570,7180,6610,6050,5600,5100,4720,4310,4070,3990,4140,4290,3560,2570,2750,3070,3150,3190,3010,2950,3220,3050,3100,2930,2650,2420,2280,2220,2240,2450,2660,2790,2640,2470,2350,2260,2130,2310,2440,2490,2620,NA,NA,NA,NA,NA,NA,"GAGSATLC","31","Mycteroperca microlepis","31_Mycteroperca microlepis"
"74",NA,NA,20200,20200,20200,20100,20100,20100,20100,20000,20000,20000,19900,19900,19900,19800,19700,19600,19400,19100,18800,18500,18300,18200,18200,18300,18400,18500,18500,18500,18200,17500,17200,16600,17000,17800,20000,21600,22800,23500,23400,22500,20900,19300,17200,15100,13100,11100,9280,8280,7620,7260,7100,7090,7180,7470,8020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GEMFISHNZ","81","Rexea solandri","81_Rexea solandri"
"75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25800,25800,25800,24600,24100,24600,25700,27900,32100,36000,38700,38500,36300,31100,27400,23600,21800,21500,21400,20900,19300,16500,13000,9510,7450,6080,5660,5320,4480,4140,3570,2910,2350,2060,1930,1950,2110,2590,3290,3680,3780,3770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GEMFISHSE","81","Rexea solandri","81_Rexea solandri"
"76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266000,260000,273000,289000,313000,332000,368000,426000,395000,446000,338000,420000,395000,302000,203000,189000,119000,82700,53000,25800,11700,17000,19200,20900,22700,26400,26700,26900,28300,27100,31400,32100,32700,37000,33600,32800,31900,28300,26400,24300,31800,47100,NA,NA,NA,"GHAL4RST","21","Reinhardtius hippoglossoides","21_Reinhardtius hippoglossoides"
"77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258000,233000,195000,159000,146000,140000,164000,206000,263000,327000,395000,465000,504000,492000,477000,434000,393000,354000,351000,342000,338000,325000,303000,279000,252000,242000,236000,231000,224000,217000,207000,191000,181000,174000,163000,149000,136000,126000,115000,102000,92900,83100,75600,70900,67800,66000,64100,62700,61300,59700,58400,60700,69300,80900,97400,122000,NA,NA,NA,"GHALBSAI","67","Reinhardtius hippoglossoides","67_Reinhardtius hippoglossoides"
"78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,609000,611000,651000,683000,703000,707000,717000,743000,760000,750000,720000,663000,597000,543000,505000,474000,438000,390000,350000,348000,328000,309000,293000,283000,301000,307000,307000,309000,306000,301000,307000,308000,321000,337000,354000,376000,391000,414000,445000,481000,502000,515000,519000,510000,5e+05,479000,459000,434000,"GOLDREDV-VI-XII-XIV","27","Sebastes norvegicus","27_Sebastes norvegicus"
"79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2440,2360,2290,2230,2150,2050,1960,1870,1760,1660,1550,1420,1310,1280,1430,1430,1340,1340,1750,1860,1950,1990,2050,2130,2230,2310,2520,2800,2580,2820,2730,2970,3000,2950,2930,2890,2940,2850,2780,2630,2570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOPHERSPCOAST","77","Sebastes carnatus","77_Sebastes carnatus"
"80",19300,18800,18300,17800,17300,16800,16400,16000,15600,15200,14800,14500,14200,13900,13700,13500,13300,13100,13000,12800,12600,12400,12100,11600,11000,10300,9510,8720,7890,7040,6210,5720,6520,5750,5800,5840,5840,5240,4680,4150,3390,4260,3440,3220,2710,2570,2690,2370,2380,2420,2750,3460,4310,4430,3750,3170,2870,2930,3460,3940,4010,3920,3860,NA,NA,NA,NA,NA,NA,"GRAMBERGM","31","Seriola dumerili","31_Seriola dumerili"
"81",14500,14500,14500,14400,14300,14300,14200,14200,14100,14000,13900,13800,13800,13700,13600,13500,13400,13300,13200,13100,13000,12900,12800,12800,12600,12500,12400,12300,12200,11900,11800,11200,10600,10500,10500,9490,9790,9450,8510,7410,6980,6900,6880,6720,6570,6320,6030,5710,5880,6170,6060,7110,7840,7750,6950,5940,5620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GRAMBERSATLC","31","Seriola dumerili","31_Seriola dumerili"
"82",32100,32000,31900,31800,31700,31700,31600,31600,31500,31400,31500,31400,31400,31500,31500,31600,31600,31600,31400,31300,31200,31100,30700,30600,30500,30200,30000,29500,29000,28700,28700,27700,27600,27200,27000,26700,26800,27200,27100,26100,25100,24800,24500,24200,23500,23300,23100,22900,22400,21800,22000,22700,23500,24200,25100,25900,26900,27800,28500,29200,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GRNSTROCKPCOAST","67","Sebastes elongatus","67_Sebastes elongatus"
"83",2820,2800,2760,2740,2730,2710,2680,2660,2630,2580,2560,2540,2530,2520,2510,2500,2490,2480,2460,2440,2430,2400,2390,2360,2300,2250,2190,2120,2060,2020,1940,1870,1680,1590,1530,1500,1420,1380,1350,1230,1090,1010,892,829,784,752,704,644,647,679,702,733,775,828,883,937,990,1040,1090,1140,1190,NA,NA,NA,NA,NA,NA,NA,NA,"GRSPROCKNCAL","77","Sebastes chlorostictus","77_Sebastes chlorostictus"
"84",3900,3900,3900,3900,3900,3880,3860,3830,3820,3810,3810,3800,3790,3790,3780,3770,3740,3700,3650,3590,3470,3380,3280,3120,2940,2740,2560,2380,2190,2020,1820,1740,1690,1500,1400,1290,1140,1100,1130,1180,1190,1210,1230,1260,1280,1290,1270,1290,1330,1360,1400,1450,1500,1560,1630,1680,1720,1770,1820,1870,1920,NA,NA,NA,NA,NA,NA,NA,NA,"GRSPROCKSCAL","77","Sebastes chlorostictus","77_Sebastes chlorostictus"
"85",31300,31100,30800,30500,30100,29700,29300,28800,28300,27600,26900,26300,26100,25500,24800,24100,23800,23700,23400,23100,22600,22600,22400,21500,21000,20400,20000,19300,18600,17700,16900,16300,14800,13500,13000,13400,14300,15300,16300,15900,14900,13200,12100,11100,10000,9050,8150,7970,7980,8250,8710,9270,9490,9250,8610,7750,7220,6960,6820,6790,6710,6560,6070,5780,NA,NA,NA,NA,NA,"GTRIGGM","31","Balistes capriscus","31_Balistes capriscus"
"86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39100,50900,24000,31300,66600,37800,39800,232000,49100,81800,97100,80300,91700,47000,67200,75200,59400,29700,28300,21500,41300,61000,34600,12800,23900,49300,83100,45200,43500,56400,60200,85400,65800,67900,40300,43500,46600,54800,43300,60800,45500,47900,29000,36600,42900,NA,NA,NA,NA,"HAD4X5Y","21","Melanogrammus aeglefinus","21_Melanogrammus aeglefinus"
"87",NA,NA,NA,NA,NA,NA,NA,84900,83400,83300,92400,96400,104000,96000,75500,66700,63600,66900,77000,80900,76300,71000,66100,89900,113000,134000,139000,105000,93300,71200,63100,55900,52200,48300,84500,77900,78500,71200,65500,56800,42300,30400,22000,29700,25900,50500,93600,1e+05,83200,69500,99600,139000,149000,128000,114000,81900,56600,37700,26400,18100,17300,15200,13400,14000,14200,20700,27400,38600,87500,"HADFAPL","27","Melanogrammus aeglefinus","27_Melanogrammus aeglefinus"
"88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162000,192000,207000,180000,148000,113000,102000,96500,105000,154000,168000,146000,123000,106000,131000,128000,124000,108000,87200,97100,91000,90700,115000,168000,220000,253000,259000,298000,296000,248000,191000,166000,151000,144000,139000,128000,132000,117000,135000,158000,"HADICE","27","Melanogrammus aeglefinus","27_Melanogrammus aeglefinus"
"89",382000,430000,423000,684000,756000,729000,625000,436000,315000,336000,421000,402000,375000,359000,379000,369000,421000,445000,406000,302000,274000,247000,6e+05,666000,512000,374000,282000,201000,196000,202000,205000,161000,120000,89300,72100,180000,352000,330000,248000,189000,157000,181000,288000,550000,668000,659000,578000,378000,263000,248000,231000,295000,434000,528000,488000,507000,447000,656000,981000,1290000,1440000,1290000,1160000,1030000,1030000,964000,911000,743000,NA,"HADNEAR","27","Melanogrammus aeglefinus","27_Melanogrammus aeglefinus"
"90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2590000,2580000,2670000,2100000,1050000,805000,804000,1230000,1430000,1030000,897000,1110000,1380000,907000,1070000,799000,465000,384000,616000,801000,826000,867000,894000,859000,780000,749000,584000,1530000,2160000,1150000,772000,545000,450000,1020000,765000,557000,468000,803000,499000,423000,412000,356000,508000,523000,541000,433000,499000,"HADNS-IIIa-VIa","27","Melanogrammus aeglefinus","27_Melanogrammus aeglefinus"
"91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119000,128000,127000,109000,101000,107000,112000,97400,80400,75300,76300,76500,70600,67500,66500,58900,52600,58700,54100,46600,44200,48500,54000,54000,57000,62100,64300,60200,56600,63400,80000,127000,207000,268000,289000,302000,339000,376000,391000,372000,NA,"HAKENRTN","27","Merluccius merluccius","27_Merluccius merluccius"
"92",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2660000,2390000,2300000,2320000,2240000,2080000,2140000,2460000,2560000,2290000,2190000,2020000,1760000,1770000,1670000,1640000,1480000,1380000,1270000,1220000,1270000,1120000,1020000,893000,867000,727000,844000,753000,749000,878000,805000,856000,1020000,1050000,1270000,1310000,1310000,1220000,1460000,1500000,1570000,1740000,1550000,NA,NA,"HERR2529-32","27","Clupea harengus","27_Clupea harengus"
"93",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73000,77800,83100,92100,96700,179000,207000,235000,215000,193000,174000,160000,154000,136000,113000,103000,82100,111000,115000,161000,176000,171000,165000,142000,138000,115000,106000,82200,72400,59400,48400,48600,49500,54100,63800,72400,76500,77100,65700,64300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HERR4RSP","21","Clupea harengus","21_Clupea harengus"
"94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,448000,577000,630000,627000,540000,493000,419000,428000,499000,576000,517000,389000,342000,264000,263000,368000,362000,320000,348000,424000,582000,763000,819000,702000,559000,518000,405000,340000,245000,181000,156000,161000,179000,181000,164000,164000,168000,166000,154000,116000,96300,91700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HERR4VWX","21","Clupea harengus","21_Clupea harengus"
"95",NA,135000,80800,74400,78500,66300,74000,48200,48000,57700,45200,77300,84700,103000,64700,40300,88900,50200,23100,31600,48400,56600,65600,68400,66200,62500,54900,52200,43900,85700,108000,116000,113000,88500,78000,68200,61700,85800,82600,65800,55500,71300,72000,65400,52400,40300,54000,62500,60700,57800,51000,44800,53800,53700,58100,42600,32700,22200,31500,26300,32700,20900,23900,29500,43000,48900,NA,NA,NA,"HERRCC","67","Clupea pallasii","67_Clupea pallasii"
"96",8220000,8440000,8220000,7870000,7640000,7160000,6460000,6430000,6310000,6870000,5600000,5680000,5200000,5740000,5710000,5110000,3780000,2930000,2520000,1900000,1860000,1720000,1520000,1210000,875000,705000,508000,351000,422000,559000,757000,1360000,2070000,2850000,3680000,4190000,4700000,4740000,4600000,4e+06,3930000,3730000,3810000,3560000,3440000,3370000,3310000,3340000,3630000,3630000,4470000,5050000,5970000,6310000,5290000,4440000,3760000,3130000,3180000,3640000,4420000,4440000,4440000,4280000,4550000,4750000,4590000,3670000,3130000,"HERRNS-IIIa-VIId","27","Clupea harengus","27_Clupea harengus"
"97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1110000,1310000,1560000,1330000,990000,842000,862000,909000,844000,613000,467000,356000,288000,401000,368000,241000,184000,181000,217000,253000,285000,463000,521000,688000,865000,962000,1070000,1130000,1100000,1050000,1540000,1830000,1510000,1370000,1530000,1400000,1290000,1250000,1330000,1140000,995000,1080000,963000,972000,1940000,1520000,1320000,NA,NA,NA,NA,NA,NA,NA,"HERRNWATLC","21","Clupea harengus","21_Clupea harengus"
"98",NA,143000,101000,58300,67100,54200,44200,47800,47300,70400,104000,140000,138000,149000,125000,111000,50700,29600,20100,21300,29200,23600,30200,40500,42800,31000,36600,35900,26900,33400,34200,35500,36800,55800,68900,64800,85500,81500,70100,57100,62900,62200,59200,48300,36900,45600,49400,52700,41200,47200,48200,45900,60100,52300,44200,33800,41300,33200,33900,34700,41200,38400,42500,36300,39400,56300,NA,NA,NA,"HERRPRD","67","Clupea pallasii","67_Clupea pallasii"
"99",NA,22800,26400,75500,96500,102000,103000,33700,26700,27100,37600,67800,96300,88400,61800,58900,16400,12100,13400,15700,28100,38500,56000,69800,82000,62400,60300,50800,41400,89200,93900,95800,79300,101000,88200,73500,58800,81300,76500,67800,51100,45800,33600,21800,16500,28200,35600,68300,41600,30500,21800,18500,30700,20600,24200,17000,22900,17700,24300,16200,22600,20600,43700,35200,33900,27200,NA,NA,NA,"HERRQCI","67","Clupea pallasii","67_Clupea pallasii"
"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76700,66300,66100,69500,65500,72900,76300,66200,77500,86700,97600,116000,86000,139000,141000,167000,175000,170000,166000,167000,134000,120000,136000,132000,156000,143000,156000,120000,124000,143000,127000,157000,150000,140000,130000,149000,178000,157000,149000,141000,132000,NA,"HERRRIGA","27","Clupea harengus","27_Clupea harengus"
"101",NA,NA,NA,NA,NA,NA,NA,NA,331000,360000,285000,246000,277000,227000,308000,256000,281000,273000,286000,239000,173000,199000,154000,122000,89500,76700,71200,66900,61300,72800,61900,89200,130000,163000,153000,159000,176000,218000,177000,170000,152000,116000,158000,124000,157000,155000,121000,109000,86600,92500,93600,91100,110000,73100,81900,139000,124000,142000,143000,196000,195000,215000,192000,164000,140000,99100,75100,61300,NA,"HERRSIRS","27","Clupea harengus","27_Clupea harengus"
"102",NA,193000,198000,188000,279000,242000,173000,121000,117000,170000,172000,179000,204000,220000,213000,146000,110000,91900,63000,96800,123000,122000,109000,117000,144000,134000,159000,209000,183000,197000,179000,193000,169000,134000,126000,164000,148000,188000,157000,182000,173000,242000,261000,286000,217000,229000,267000,255000,2e+05,197000,217000,280000,289000,266000,223000,214000,219000,163000,143000,121000,147000,165000,167000,194000,185000,232000,NA,NA,NA,"HERRSOG","67","Clupea pallasii","67_Clupea pallasii"
"103",NA,NA,NA,NA,NA,NA,NA,412000,506000,543000,437000,444000,552000,584000,534000,1130000,858000,838000,960000,988000,1e+06,1520000,1120000,803000,577000,436000,265000,164000,172000,217000,253000,365000,307000,430000,356000,351000,317000,384000,338000,322000,274000,211000,195000,185000,181000,160000,201000,216000,193000,153000,219000,249000,290000,246000,193000,160000,177000,156000,145000,158000,164000,152000,144000,114000,NA,NA,NA,NA,NA,"HERRVIa","27","Clupea harengus","27_Clupea harengus"
"104",NA,NA,NA,NA,NA,NA,NA,705000,725000,815000,858000,912000,1010000,1030000,1e+06,1290000,1620000,1430000,1500000,1450000,1570000,1880000,1780000,1560000,1100000,841000,695000,541000,539000,519000,609000,794000,812000,822000,882000,940000,1e+06,941000,902000,917000,966000,921000,834000,910000,778000,688000,569000,570000,653000,678000,734000,784000,847000,838000,713000,657000,702000,681000,625000,637000,631000,533000,502000,396000,292000,240000,169000,162000,NA,"HERRVIaVIIbc","27","Clupea harengus","27_Clupea harengus"
"105",NA,93500,75700,66900,83600,64500,84200,80200,110000,141000,93200,86000,81700,90700,82700,54500,43600,47000,27700,42200,79700,109000,120000,139000,152000,161000,143000,131000,98900,107000,102000,105000,88800,86400,119000,141000,113000,164000,127000,103000,83100,90900,96600,93700,74600,67400,119000,105000,71600,53700,56400,73000,79500,65000,49800,31200,28700,19600,21900,16400,24200,18900,19000,32600,34300,56400,NA,NA,NA,"HERRWCVANI","67","Clupea pallasii","67_Clupea pallasii"
"106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256000,305000,336000,253000,178000,159000,184000,130000,161000,231000,234000,269000,280000,210000,396000,440000,347000,384000,393000,426000,545000,535000,520000,503000,518000,528000,419000,382000,280000,348000,529000,543000,449000,448000,420000,385000,385000,381000,395000,366000,440000,NA,NA,NA,NA,NA,"JMACKTSST","61","Trachurus japonicus","61_Trachurus japonicus"
"107",1390,1390,1380,1380,1380,1370,1370,1370,1370,1370,1370,1370,1360,1360,1360,1360,1360,1350,1350,1350,1350,1350,1350,1340,1340,1330,1330,1320,1320,1310,1300,1270,1260,1200,1300,1430,1740,1790,1800,1750,1570,1390,1230,1120,994,990,925,889,958,974,966,1290,1450,1410,1330,1230,1150,990,1020,1110,1490,1590,1420,1230,1130,1130,NA,NA,NA,"KELPGREENLINGORECOAST","67","Hexagrammos decagrammus","67_Hexagrammos decagrammus"
