"","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","stockid","primary_FAOarea","scientificname","fao_sp"
"12",92800,93000,93100,93200,92300,92700,92900,88400,85400,83100,80700,79000,76900,75300,74100,72800,72100,71500,68900,65300,60800,56000,51600,47200,48700,48200,48100,51700,52800,58100,60200,61600,65300,68100,72300,73700,74500,75100,76100,75800,74800,73200,69500,72700,73800,72100,70800,71800,69700,66500,59800,56900,64900,69700,74800,79000,79800,83300,84700,84200,81600,80000,79700,79400,79100,79800,NA,NA,NA,"ARFLOUNDPCOAST","67","Atheresthes stomias","67_Atheresthes stomias"
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3780,3390,2890,2710,2950,3650,4930,6750,8750,10900,13000,14800,16500,17000,17000,15700,13000,11000,9950,8960,8880,7840,5870,5590,5070,5340,6020,6800,7240,7890,8570,9550,9860,9890,9670,9900,10700,12200,14100,16900,18900,22400,27100,31800,NA,NA,NA,NA,NA,"ATHAL3NOPs4VWX5Zc","21","Hippoglossus hippoglossus","21_Hippoglossus hippoglossus"
"14",970,975,937,929,942,933,982,1050,1110,1190,1290,1400,1510,1560,1590,1560,1460,1380,1040,911,865,843,833,835,859,900,912,944,991,986,954,911,832,737,629,571,526,519,540,483,473,465,440,431,427,439,482,525,571,636,688,752,821,903,974,1070,1170,1300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ATHAL5YZ","21","Hippoglossus hippoglossus","21_Hippoglossus hippoglossus"
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6e+05,601000,540000,768000,778000,723000,681000,643000,596000,570000,580000,598000,639000,637000,882000,922000,837000,772000,847000,744000,609000,680000,593000,532000,634000,999000,1180000,1310000,1170000,1030000,929000,810000,822000,788000,657000,614000,529000,581000,589000,NA,NA,NA,"ATKABSAI","67","Pleurogrammus monopterygius","67_Pleurogrammus monopterygius"
"16",6170,6180,6180,6190,6190,6200,6210,6220,6230,6240,6260,6270,6290,6310,6330,6360,6380,6400,6420,6440,6460,6470,6470,6470,6460,6450,6430,6410,6400,6390,6350,6320,6290,6220,6060,6000,5900,5770,5700,5530,5360,5140,5060,4830,4680,4570,4490,4440,4390,4370,4360,4340,4340,4310,4270,4230,4230,4220,4220,4240,4240,4270,4330,4370,NA,NA,NA,NA,NA,"AUROCKPCOAST","67","Sebastes aurora","67_Sebastes aurora"
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119123,119123,119123,119123,119123,119123,119123,119123,119123,119123,119123,119123,119123,119123,117463,115882,113691,110550,109246,109312,107260,111744,116358,118383,123989,126148,129691,135572,137650,141532,142930,139101,130018,120642,140148,136482,127548,136940,146980,150525,144601,134543,120320,110753,94229.1,85716.1,82321.8,77127.5,72012.7,66919.4,67295.5,69278.8,72361,83193.1,95066.4,109521,126946,142308,NA,"BGRDRNSWWA","57","Macruronus novaezelandiae","57_Macruronus novaezelandiae"
"18",12900,12900,12900,12900,12800,12800,12800,12700,12700,12700,12600,12600,12500,12500,12500,12500,12400,12300,12100,12000,11900,11800,11700,11500,11200,11000,10800,10600,10400,10100,9860,9520,9240,8810,8450,8350,8110,7520,7020,6410,6230,5940,5810,5470,5410,5370,5350,5310,5340,5400,5590,5730,5840,5930,5970,6040,6150,6250,6390,6500,6560,6590,NA,NA,NA,NA,NA,NA,NA,"BGROCKPCOAST","77","Sebastes melanostomus","77_Sebastes melanostomus"
"19",1250000,1250000,1250000,1250000,1250000,1250000,1240000,1240000,1240000,1230000,1230000,1220000,1210000,1200000,1180000,1170000,1140000,1140000,1130000,1130000,1110000,1090000,1060000,1040000,1020000,990000,968000,964000,951000,942000,940000,922000,901000,877000,869000,851000,828000,819000,819000,811000,791000,766000,733000,699000,654000,591000,537000,492000,458000,426000,381000,352000,333000,330000,323000,319000,338000,360000,374000,393000,395000,397000,396000,404000,426000,NA,NA,NA,NA,"BIGEYEATL","34","Thunnus obesus","34_Thunnus obesus"
"20",NA,NA,3260000,3300000,3400000,3540000,3540000,3380000,3140000,2870000,2670000,2480000,2360000,2250000,2180000,2120000,2070000,2030000,1990000,1950000,1940000,1880000,1840000,1810000,1810000,1850000,1910000,1920000,1860000,1740000,1660000,1630000,1700000,1770000,1760000,1740000,1750000,1760000,1810000,1850000,1860000,1830000,1800000,1750000,1730000,1720000,1780000,1800000,1720000,1640000,1590000,1630000,1610000,1560000,1520000,1480000,1440000,1410000,1340000,1300000,1280000,1250000,1280000,1360000,1500000,NA,NA,NA,NA,"BIGEYECWPAC","71","Thunnus obesus","71_Thunnus obesus"
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16500,16500,16500,16600,16600,16700,16700,16700,16800,16700,16700,16700,16700,16700,16600,16600,16500,16500,16500,16500,16500,16500,16400,16300,16200,16100,16000,16000,15900,15700,15500,15200,15000,14900,14800,14700,14600,14400,14200,14000,13900,13800,13800,13700,13100,12700,12300,11800,11600,11400,11400,11500,11600,11700,11900,NA,NA,NA,NA,"BIGHTREDSE","81","Centroberyx gerrardi","81_Centroberyx gerrardi"
"22",7390,7150,7040,7080,7060,6910,6880,6950,6970,6910,6870,6870,6860,6760,6600,6460,6290,6120,5940,5740,5550,5310,5070,4790,4490,4300,4140,4010,3790,4180,4450,4590,4610,4190,3630,3350,2890,2620,2390,2360,2230,2130,2000,1900,1820,1810,1890,2120,2360,2560,2680,2740,2640,2690,2740,2990,3140,3320,3460,3500,3450,3970,4710,5350,5610,5770,NA,NA,NA,"BLACKROCKCAL","77","Sebastes melanops","77_Sebastes melanops"
"23",11400,11300,11400,11400,11400,11400,11400,11400,11400,11400,11300,11300,11300,11300,11200,11300,11200,11200,11200,11300,11200,11200,11200,11200,11200,11100,11000,11000,10900,10800,10500,10300,10100,9820,9540,9310,9300,9330,9350,9310,9190,9120,9130,8790,8670,8560,8470,8320,8200,8130,8130,8120,8060,8040,7980,7940,7930,7980,8020,8070,8040,8030,8110,8180,8140,8060,NA,NA,NA,"BLACKROCKORECOAST","67","Sebastes melanops","67_Sebastes melanops"
"24",7190,7180,7190,7130,7100,7020,6920,6850,6690,6480,6360,6210,6050,5750,5610,5480,5460,5400,5350,5340,5360,5550,5660,5710,5790,5840,5880,5930,5920,5990,6030,6040,5790,5630,5600,5520,5460,5330,5180,5040,4930,4860,4960,5080,5100,5050,5040,5090,5120,5030,5040,5000,5080,5110,5080,4980,4900,4810,4780,4980,5120,5430,5550,5700,5690,5640,NA,NA,NA,"BLACKROCKWASH","67","Sebastes melanops","67_Sebastes melanops"
"25",59500,59500,59400,59300,58900,58400,58000,57400,56900,56800,56700,56500,56400,56200,56700,56600,56800,57000,56900,56100,55800,55400,55800,56400,57100,56800,56700,57300,57700,57600,57700,57200,57200,56200,55400,55300,55200,54900,54600,54600,54400,54500,54400,53100,52000,49800,49300,48200,46700,46700,46500,44500,43600,43900,42800,39900,40100,39100,38700,37000,35200,34700,NA,NA,NA,NA,NA,NA,NA,"BLKMARLINIO","57","Istiompax indica","57_Istiompax indica"
"26",12700,12600,12500,12400,12400,12300,12300,12200,12100,11900,11800,11800,11900,12000,12200,12500,12700,12900,13000,12900,12800,12500,12200,11700,10900,10000,9150,8370,7630,6970,6140,5500,4610,4000,3460,3140,2980,3170,3200,3160,3200,3330,3520,3320,3480,3660,3870,4080,4110,4490,4830,5080,5300,5470,5540,5640,5650,5450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BLUEROCKCAL","77","Sebastes mystinus","77_Sebastes mystinus"
"27",NA,NA,NA,NA,NA,NA,63400,63400,62700,62200,61800,59700,57000,51800,45500,40400,37000,35600,35900,35900,35400,35100,34300,34500,33900,33400,32600,32700,33200,34400,35900,37300,38500,39000,40000,40100,39600,40300,40700,40300,38600,36900,35700,35500,35300,33900,32700,30300,27700,25000,22700,20600,19400,18900,17800,18000,17700,17600,16300,14100,14300,NA,NA,NA,NA,NA,NA,NA,NA,"BMARLINATL","31","Makaira nigricans","31_Makaira nigricans"
"28",194000,194000,194000,193000,192000,190000,187000,183000,181000,179000,178000,177000,176000,176000,177000,176000,176000,175000,175000,174000,174000,173000,173000,173000,174000,174000,174000,174000,175000,175000,173000,172000,173000,172000,171000,170000,168000,165000,162000,160000,158000,157000,156000,153000,150000,147000,145000,142000,137000,132000,128000,125000,125000,123000,120000,113000,106000,102000,101000,1e+05,99800,99900,NA,NA,NA,NA,NA,NA,NA,"BMARLINIO","51","Makaira mazara","51_Makaira mazara"
