"","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"BIGEYECWPAC",2070000,2030000,1990000,1950000,1940000,1880000,1840000,1810000,1810000,1850000,1910000,1920000,1860000,1740000,1660000,1630000,1700000,1770000,1760000,1740000,1750000,1760000,1810000,1850000,1860000,1830000,1800000,1750000,1730000,1720000,1780000,1800000,1720000,1640000,1590000,1630000,1610000,1560000,1520000,1480000,1440000,1410000,1340000,1300000,1280000,1250000,1280000,1360000,1500000,NA
"SKJCWPAC",NA,NA,NA,NA,NA,NA,3260000,3840000,3710000,3110000,2920000,3060000,3440000,3230000,3e+06,2910000,3310000,4320000,4610000,4110000,4430000,4830000,5100000,4570000,4080000,4e+06,3880000,3910000,4240000,4440000,4410000,4180000,4510000,4650000,4250000,3780000,3710000,3350000,3390000,3860000,4020000,4270000,3710000,3380000,3470000,3410000,3770000,4470000,4840000,4410000
"STMARLINSWPO",11700,10500,10900,12600,15000,15100,14000,12900,11700,10900,10900,11100,11800,10900,10900,11400,10100,9060,9070,8440,7820,8200,8870,8510,7090,6720,7550,8850,9560,8840,9110,10000,10500,9470,8020,7470,7400,6890,6080,5490,5560,5930,6250,6010,5910,6640,NA,NA,NA,NA
"YFINCWPAC",5740000,5190000,4960000,4830000,4910000,5070000,4830000,4550000,4440000,4360000,4390000,4670000,4960000,4930000,4510000,4250000,4130000,4130000,3940000,3840000,3940000,4020000,3970000,3870000,3760000,3710000,3730000,3570000,3520000,3500000,3470000,3290000,3140000,2930000,2770000,2530000,2460000,2460000,2410000,2250000,2150000,2200000,2200000,2170000,2140000,2140000,2110000,2140000,2320000,2580000
