"","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","stockid","primary_FAOarea","scientificname","fao_sp","stock_dat"
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0659259259259259,0.0400749063670412,0.0345421245421245,0.0476868327402135,0.06,0.0554006968641115,0.0366438356164384,0.0426229508196721,0.0277287066246057,0.020748502994012,0.0188700564971751,0.0118635170603675,0.0450363196125908,0.0155251141552511,0.0253668763102725,0.0401174168297456,0.0181578947368421,0.0155277280858676,0.0229845626072041,0.0144314381270903,0.0220779220779221,0.0148885350318471,0.0219814241486068,0.0148714069591528,0.0175438596491228,0.0182461103253182,0.0146374829001368,0.0156373193166886,0.0209860935524652,0.0155637254901961,0.015839243498818,0.013662456946039,0.0239106145251397,0.0329295154185022,0.0429834254143646,0.0226966292134831,0.0252252252252252,0.0232690124858116,0.021753986332574,NA,NA,NA,"ARFLOUNDBSAI","67","Atheresthes stomias","67_Atheresthes stomias_erdat","ARFLOUNDBSAI_erdat"
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00121800947867299,0.00123855421686747,0.00125365853658537,0.00126913580246914,0.00127860696517413,0.00619047619047619,0.00575757575757576,0.00431472081218274,0.0033587786259542,0.00483375959079284,0.00293103448275862,0.0105660377358491,0.0214592274678112,0.00917293233082707,0.00457990115321252,0.00447214076246334,0.0127016129032258,0.0106725888324873,0.00911057692307692,0.00885005636978579,0.00782929399367755,0.00459405940594059,0.00586111111111111,0.00300869565217391,0.0012520325203252,0.000924242424242424,0.0035177304964539,0.0034496644295302,0.00165384615384615,0.00475925925925926,0.00598802395209581,0.00935672514619883,0.00896551724137931,0.0134857142857143,0.0105747126436782,0.0131395348837209,0.00958823529411765,0.00769230769230769,0.00952941176470588,0.0140462427745665,0.0111731843575419,0.0113978494623656,0.0155440414507772,0.00776649746192893,0.00985074626865672,0.013578431372549,0.0123188405797101,0.0140191387559809,0.0118009478672986,0.0114761904761905,0.014975845410628,0.0101477832512315,0.01064039408867,0.017536231884058,NA,NA,NA,"ARFLOUNDGA","67","Atheresthes stomias","67_Atheresthes stomias_erdat","ARFLOUNDGA_erdat"
"13",0.00993630573248408,0.0125,0.00217672413793103,0.00370967741935484,0.0041890440386681,0.0141630901287554,0.000866738894907909,0.00365695792880259,0.0551130247578041,0.0420814479638009,0.0373536299765808,0.0419975932611312,0.0371747211895911,0.0450632911392405,0.0421326397919376,0.0402390438247012,0.044804318488529,0.0379120879120879,0.0395284327323162,0.0363636363636364,0.0330914368650218,0.0361408882082695,0.0356907894736842,0.0389285714285714,0.0503875968992248,0.0648305084745763,0.0597535934291581,0.0572614107883817,0.0638253638253638,0.0500967117988395,0.0615530303030303,0.0707401032702238,0.053156146179402,0.0543831168831169,0.0776416539050536,0.0676945668135095,0.0656984785615491,0.0709633649932157,0.058255033557047,0.0691078561917443,0.0528252299605782,0.0769129287598945,0.10427807486631,0.0960382513661202,0.077410071942446,0.0598349381017882,0.0607046070460705,0.0497919556171983,0.0504237288135593,0.0497214484679666,0.0585365853658537,0.0989473684210526,0.0755852842809365,0.0636203866432337,0.05115562403698,0.0489239598278336,0.0443850267379679,0.0382278481012658,0.0302005012531328,0.0369747899159664,0.0402597402597403,0.0644893111638955,0.0502450980392157,0.033,0.0313676286072773,0.031360201511335,0.018204804045512,NA,NA,NA,"ARFLOUNDPCOAST","67","Atheresthes stomias","67_Atheresthes stomias_erdat","ARFLOUNDPCOAST_erdat"
"14",0.175,0.182,0.139,0.184,0.153,0.131,0.155,0.0925,0.0737,0.0887,0.0767,0.058,0.057,0.0694,0.107,0.127,0.161,0.205,0.205,0.386,0.271,0.196,0.17,0.157,0.142,0.117,0.0974,0.131,0.11,0.0946,0.149,0.177,0.19,0.232,0.259,0.292,0.238,0.224,0.158,0.105,0.251,0.166,0.162,0.2,0.165,0.156,0.116,0.0474,0.0563,0.0578,0.0321,0.0591,0.0481,0.0507,0.0422,0.0619,0.0402,0.0474,0.0379,0.065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ATHAL5YZ","21","Hippoglossus hippoglossus","21_Hippoglossus hippoglossus_erdat","ATHAL5YZ_erdat"
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0363333333333333,0.0402662229617304,0.0431481481481482,0.0266927083333333,0.0253213367609255,0.0275242047026279,0.0171806167400881,0.0561430793157076,0.0635906040268456,0.056140350877193,0.0518965517241379,0.0369565217391304,0.028169014084507,0.034850863422292,0.0301587301587302,0.0526030368763558,0.0788530465949821,0.0847150259067358,0.0963400236127509,0.139784946236559,0.108045977011494,0.0839705882352941,0.0947723440134907,0.0887218045112782,0.0971608832807571,0.0453453453453453,0.0457627118644068,0.0462595419847328,0.052991452991453,0.0600970873786408,0.0631862217438106,0.0717283950617284,0.0885644768856448,0.0870558375634518,0.0788432267884323,0.0778501628664495,0.0438563327032136,0.053184165232358,NA,NA,NA,"ATKABSAI","67","Pleurogrammus monopterygius","67_Pleurogrammus monopterygius_erdat","ATKABSAI_erdat"
"16",0.000404220779220779,0.00026580226904376,0.000364667747163695,0.000566343042071197,0.000621359223300971,0.000688206785137318,0.000426494345718901,0.000375806451612903,0.000473429951690821,0.000501607717041801,0.000741573033707865,0.000841346153846154,0.000637380191693291,0.000422647527910686,0.000354531001589825,0.000385103011093502,0.000289099526066351,0.000317610062893082,0.000532915360501567,0.0003015625,0.000361370716510903,0.000403726708074534,0.000595975232198142,0.00134003091190108,0.00150077279752705,0.00293663060278207,0.00188854489164087,0.00224806201550388,0.00237947122861586,0.0014399375975039,0.000615625,0.00370892018779343,0.00240944881889764,0.0019620253164557,0.0087758346581876,0.0231511254019293,0.00625412541254125,0.01175,0.0183050847457627,0.00819757365684575,0.0243859649122807,0.0264014466546112,0.0389925373134328,0.0116926070038911,0.0424901185770751,0.0302277432712215,0.0226495726495726,0.0163676148796499,0.0125167037861915,0.0119594594594595,0.00963553530751708,0.00450800915331808,0.00885321100917431,0.00716589861751152,0.012926267281106,0.0176798143851508,0.0201170960187354,0.0129078014184397,0.0133806146572104,0.0137203791469194,0.0124407582938389,0.0156603773584906,0.00983490566037736,0.00669789227166276,0.00986143187066975,NA,NA,NA,NA,NA,"AUROCKPCOAST","67","Sebastes aurora","67_Sebastes aurora_erdat","AUROCKPCOAST_erdat"
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.349,0.376,0.459,0.6,0.566,0.62,0.561,0.52,0.563,0.441,0.475,0.402,0.33,0.32,0.401,0.327,0.356,0.351,0.313,0.313,0.412,0.322,0.345,0.336,0.48,0.471,0.4,0.463,0.44,0.474,0.391,0.459,0.469,0.375,0.341,0.332,0.385,0.345,0.317,0.236,0.193,NA,NA,NA,NA,NA,NA,NA,NA,"BCRABCHESB","21","Callinectes sapidus","21_Callinectes sapidus_erdat","BCRABCHESB_erdat"
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004717671,0.008421052,0.004447541,0.007046529,0.007952392,0.01145065,0.00999912,0.01870245,0.02723107,0.02243574,0.02285815,0.02417778,0.03404526,0.02583027,0.02867467,0.02290079,0.02087374,0.02818508,0.04441456,0.04519098,0.06429656,0.06042856,0.06792817,0.07620479,0.07654281,0.06850007,0.05357453,0.04587072,0.04196454,0.05548008,0.0492061,0.06263465,0.06213804,0.05934412,0.05133623,0.01903354,0.01916938,0.01293802,0.01344064,"BGRDRNSWWA","57","Macruronus novaezelandiae","57_Macruronus novaezelandiae_erdat","BGRDRNSWWA_erdat"
"19",NA,NA,0.00206,0.00189,0.00213,0.00279,0.00322,0.00283,0.00433,0.00426,0.00454,0.00488,0.00475,0.0047,0.00343,0.00496,0.00392,0.00493,0.0129,0.0235,0.0104,0.0127,0.0129,0.0156,0.0275,0.0319,0.0347,0.0296,0.0313,0.0301,0.0418,0.0467,0.0564,0.0518,0.0753,0.0712,0.0388,0.0607,0.118,0.117,0.148,0.0829,0.109,0.0806,0.135,0.0734,0.0701,0.0657,0.0683,0.0509,0.0428,0.00887,0.0152,0.0223,0.0246,0.0317,0.025,0.0144,0.0151,0.00757,0.0116,0.0204,0.0227,NA,NA,NA,NA,NA,NA,NA,"BGROCKPCOAST","77","Sebastes melanostomus","77_Sebastes melanostomus_erdat","BGROCKPCOAST_erdat"
"20",NA,NA,0.0124434389140271,0.0167816091954023,0.0172494172494173,0.0200235571260306,0.0209274673008323,0.0194244604316547,0.0180940892641737,0.0240291262135922,0.0169512195121951,0.0188725490196078,0.0191881918819188,0.0106658446362515,0.0134734239802225,0.0193308550185874,0.017639751552795,0.0190535491905355,0.0182044887780549,0.0218476903870162,0.02025,0.0212765957446809,0.0228070175438597,0.0236842105263158,0.0353826850690088,0.0274611398963731,0.0365789473684211,0.0545331529093369,0.026566757493188,0.0493074792243767,0.0148936170212766,0.0502202643171806,0.0279456193353474,0.0229938271604938,0.0342857142857143,0.0188216039279869,0.0198996655518395,0.0211243611584327,0.0667857142857143,0.0443820224719101,0.0476595744680851,0.0375809935205184,0.0791666666666667,0.0343065693430657,0.0543307086614173,0.0551912568306011,0.0523676880222841,0.0973913043478261,0.153097345132743,0.133731343283582,0.0586309523809524,0.0941348973607038,0.0618075801749271,0.0994202898550725,0.113714285714286,0.0759887005649718,0.137602179836512,0.0422043010752688,0.0429667519181586,0.0284671532846715,0.0118648018648019,0.0805309734513274,0.0379014989293362,0.0754601226993865,NA,NA,NA,NA,NA,NA,"BHEADSHARATL","31","Sphyrna tiburo","31_Sphyrna tiburo_erdat","BHEADSHARATL_erdat"
