assessid,fao_area
DFO-MAR-LOBSTERLFA34-1893-2012-CHING,21
DFO-MAR-LOBSTERLFA35-38-1893-2012-CHING,21
DFO-MAR-POLL4VWX-1982-2011-OSGOOD,21
DFO-MAR-SCALL4T-1968-2014-OSGOOD,21
DFO-MAR-SCALLNBB-1981-2011-CHING,21
DFO-MAR-SCALLSFA16-20-1965-2012-OSGOOD,21
DFO-MAR-SCALLSPA1-6-1975-2010-CHING,21
DFO-MAR-SCALLWSFA29-2001-2011-CHING,21
DFO-MAR-SDOG4VWX5-1922-2013-OSGOOD,21
DFO-MAR-SHAKE4VWX-1969-2015-OSGOOD,21
DFO-MAR-WHAKE4VWX5-1964-2005-PREFONTAINE,21
DFO-NFLD-MONK2J3KLNOPs-1977-2000-PREFONTAINE,21
DFO-NFLD-POLL3Ps-1960-2013-OSGOOD,21
DFO-NFLD-SCALL3Ps-1969-2010-CHING,21
DFO-NFLD-SCALLGB-1978-2007-ANDERSON,21
DFO-NFLD-SMOOTHSKA2J3K-1981-2012-OSGOOD,21
DFO-NFLD-SMOOTHSKA4T-1971-2010-OSGOOD,21
DFO-NFLD-WITFLOUN3Ps-1974-2013-OSGOOD,21
DFO-PAC-BIGSKA3CD-1954-2011-OSGOOD,67
DFO-PAC-BIGSKA4B-1996-2011-OSGOOD,67
DFO-PAC-BIGSKA5AB-1954-2011-OSGOOD,67
DFO-PAC-BIGSKA5CDE-1954-2011-OSGOOD,67
DFO-PAC-BOCACCBCW-1935-2012-CHING,67
DFO-PAC-ESOLEHS-1944-2001-COLLIE,67
DFO-PAC-LINGCODSOG-1927-2014-OSGOOD,67
DFO-PAC-LNOSESKA3CD-1954-2011-OSGOOD,67
DFO-PAC-LNOSESKA4B-1996-2011-OSGOOD,67
DFO-PAC-LNOSESKA5AB-1954-2012-OSGOOD,67
DFO-PAC-LNOSESKA5CDE-1954-2011-OSGOOD,67
DFO-PAC-PCOD5AB-1945-2014-OSGOOD,67
DFO-PAC-PCODHS-1944-2014-OSGOOD,67
DFO-PAC-PCODWCVANI-1956-2002-COLLIE,67
DFO-PAC-RSOLE5AB-1944-2014-OSGOOD,67
DFO-PAC-RSOLEHSTR-1945-2014-OSGOOD,67
DFO-PAC-SABLEFPCAN-1913-2010-HIVELY,67
DFO-PAC-SARDBC-2002-2012-OSGOOD,67
DFO-PANDAL4RST-1965-2012-WATSON,21
DFO-PANDALSFA13-15-1980-2012-WATSON,21
DFO-PANDALSFA4-1977-2012-WATSON,21
DFO-PANDALSFA5-1977-2012-WATSON,21
DFO-PANDALSFA6-1977-2012-WATSON,21
DFO-PANDALSMA14-1987-2011-WATSON,67
DFO-PANDALSMA16-1987-2011-WATSON,NA
DFO-PANDALSMA18-19-1987-2011-WATSON,67
DFO-PANDALSMAFR-1987-2011-WATSON,67
DFO-PANDALSMAGTSE-1990-2012-WATSON,NA
DFO-PANDALSMAPRD-1987-2011-WATSON,67
DFO-PERCHQCI-1939-2013-WATSON,67
DFO-PERCHWCVANI-1939-2013-WATSON,67
DFO-PORSHARATL-1960-2014-OSGOOD,21
DFO-QROCKPCOASTIN-1918-2010-WATSON,67
DFO-QROCKPCOASTOUT-1918-2010-WATSON,67
DFO-QUE-ARCSURF4RST-1993-2014-OSGOOD,21
DFO-QUE-ARCSURFQCW-1993-2011-CHING,21
DFO-QUE-GURCH4RST-1991-2011-CHING,21
DFO-QUE-HERR4RFA-1971-2003-PREFONTAINE,21
DFO-QUE-HERR4RSP-1963-2004-PREFONTAINE,21
DFO-QUE-HERR4S-1979-2010-CHING,21
DFO-QUE-LOBSTERLFA15-18-1984-2011-CHING,NA
DFO-QUE-LOBSTERLFA19-21-1945-2011-CHING,NA
DFO-QUE-LOBSTERLFA22-1945-2011-CHING,21
DFO-QUE-REDFISHSPP3Pn4RSTVn-1953-2000-PREFONTAINE,21
DFO-QUE-ROCKCRABQCW-1998-2012-OSGOOD,21
DFO-QUE-SNOWCRABSCMA12-17-1979-2011-CHING,21
DFO-QUE-SSCLAMQCW-1930-2010-CHING,21
DFO-QUE-WHAKE4RS-1960-2014-OSGOOD,21
DFO-QUE-WWHELKQCW-1987-2011-CHING,21
DFO-REDDEEP2J3K-3LNO-1960-2010-WATSON,21
DFO-REDDEEPUT12-1960-2010-WATSON,21
DFO-SG-LOBSTERLFA23-26AB-1892-2011-CHING,21
DFO-SG-ROCKCRABLFA23-26-1985-2010-OSGOOD,21
DFO-SG-TSKA4T-1971-2010-OSGOOD,21
DFO-SG-WHAKE4T-1960-2013-OSGOOD,21
DFO-SG-WINFLOUN4T-1960-2012-OSGOOD,21
DFO-SG-WITFLOUN4RST-1960-2011-OSGOOD,21
DFO-SNOWCRAB2HJ-1995-2013-WATSON,21
DFO-SNOWCRAB3K-1995-2013-WATSON,21
