"","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","stockid","primary_FAOarea","scientificname","fao_sp","stock_dat"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2410,6720,5300,7050,4410,8040,9740,8580,6350,8000,4000,3250,1830,1780,4570,8650,7360,2930,1400,1320,2440,1730,103,200,2500,2940,4340,9610,4670,5450,3340,1830,1720,2210,5620,NA,NA,NA,NA,NA,NA,NA,"GHAL23KLMNO","21","Reinhardtius hippoglossoides","21_Reinhardtius hippoglossoides_effort","GHAL23KLMNO_effort"
"2",40.7,66.2,82.2,94.2,113.3,104.7,113,122.9,155.1,155.2,202.8,205.8,211.7,241.6,289,277.3,272.9,335.6,381.3,404.7,382.8,411,400,472.9,447.5,426.2,485.5,538,575.8,532.7,574.3,533.9,627.6,623,653.8,655.8,645.9,560.6,606.5,604.2,594.1,555.3,563.1,472.3,408,455.2,472,417,451.7,430.2,409.3,414.5,417.6,400.6,386.7,363.2,390.5,326,367.2,369.2,355.8,377.8,320.3,367.2,332.7,332.5,310,294.2,307.7,301.3,"MENATGM","31","Brevoortia patronus","31_Brevoortia patronus_effort","MENATGM_effort"
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31300,16600,13700,13100,12900,4470,10700,9530,14400,19100,18500,10500,25500,20900,20300,17300,10700,15900,13200,10900,9690,9100,15200,13000,12700,14100,19000,30300,51900,44100,25500,35300,32400,16200,18700,3310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"REDFISHSPP3LN","21","Sebastes spp","21_Sebastes spp_effort","REDFISHSPP3LN_effort"
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156000,177000,168000,199000,208000,220000,246000,282000,253000,222000,217000,186000,208000,192000,183000,161000,135000,158000,156000,144000,132000,109000,102000,106000,109000,85300,90400,95800,78400,83500,75500,92100,94100,79500,95600,NA,NA,NA,NA,"RROCKLOBSTERCRA1","81","Jasus edwardsii","81_Jasus edwardsii_effort","RROCKLOBSTERCRA1_effort"
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,525000,653000,618000,764000,885000,940000,897000,846000,812000,628000,758000,706000,818000,695000,371000,177000,115000,115000,105000,191000,199000,289000,313000,418000,340000,318000,282000,312000,285000,263000,188000,149000,106000,94200,119000,NA,NA,NA,NA,"RROCKLOBSTERCRA3","81","Jasus edwardsii","81_Jasus edwardsii_effort","RROCKLOBSTERCRA3_effort"
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,532000,559000,602000,745000,801000,949000,1070000,998000,1050000,892000,747000,720000,784000,748000,926000,725000,676000,6e+05,438000,403000,386000,315000,299000,269000,256000,284000,316000,290000,286000,265000,228000,211000,2e+05,236000,240000,231000,NA,NA,NA,"RROCKLOBSTERCRA5","81","Jasus edwardsii","81_Jasus edwardsii_effort","RROCKLOBSTERCRA5_effort"
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,384000,334000,340000,257000,270000,325000,426000,405000,408000,479000,308000,332000,218000,334000,219000,252000,256000,249000,147000,204000,270000,261000,161000,174000,141000,122000,84500,77400,86400,50600,111000,90100,64400,86900,27800,35500,NA,NA,NA,"RROCKLOBSTERCRA7","81","Jasus edwardsii","81_Jasus edwardsii_effort","RROCKLOBSTERCRA7_effort"
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,966000,849000,780000,954000,1220000,1270000,1380000,1390000,1340000,1130000,1350000,913000,1150000,1280000,962000,989000,905000,1030000,1110000,1090000,839000,710000,592000,526000,351000,373000,336000,346000,291000,282000,292000,388000,335000,301000,281000,276000,NA,NA,NA,"RROCKLOBSTERCRA8","81","Jasus edwardsii","81_Jasus edwardsii_effort","RROCKLOBSTERCRA8_effort"
