stockid,scientificname
GHALBSAI,Reinhardtius hippoglossoides
GHALNEAR,Reinhardtius hippoglossoides
GOLDREDNEAR,Sebastes norvegicus
GOPHERSPCOAST,Sebastes carnatus
GRAMBERGM,Seriola dumerili
GRAMBERSATLC,Seriola dumerili
GRNSTROCKPCOAST,Sebastes elongatus
GRSPROCKNCAL,Sebastes chlorostictus
GRSPROCKSCAL,Sebastes chlorostictus
GSTRGZRSTA7,Kathetostoma giganteum
GTPRAWNNAUST,Penaeus semisulcatus
GTRIGGM,Balistes capriscus
HAD4X5Y,Melanogrammus aeglefinus
HAD5Y,Melanogrammus aeglefinus
HADFAPL,Melanogrammus aeglefinus
HADGB,Melanogrammus aeglefinus
HADICE,Melanogrammus aeglefinus
HADIS,Melanogrammus aeglefinus
HADNEAR,Melanogrammus aeglefinus
HADNS-IIIa,Melanogrammus aeglefinus
HADROCK,Melanogrammus aeglefinus
HADVIa,Melanogrammus aeglefinus
HADVIIb-k,Melanogrammus aeglefinus
HAKENRTN,Merluccius merluccius
HAKESOTH,Merluccius merluccius
HERR2224IIIa,Clupea harengus
HERR2532,Clupea harengus
HERR30,Clupea harengus
HERR31,Clupea harengus
HERR4RFA,Clupea harengus
HERR4RSP,Clupea harengus
HERR4TFA,Clupea harengus
HERR4TSP,Clupea harengus
HERR4VWX,Clupea harengus
HERRCC,Clupea pallasii
HERRIsum,Clupea harengus
HERRNIRS,Clupea harengus
HERRNORSS,Clupea harengus
HERRNS,Clupea harengus
HERRNWATLC,Clupea harengus
HERRPRD,Clupea pallasii
HERRPWS,Clupea pallasii
HERRQCI,Clupea pallasii
HERRRIGA,Clupea harengus
HERRSIRS,Clupea harengus
HERRSITKA,Clupea pallasii
HERRSOG,Clupea pallasii
HERRTOG,Clupea pallasii
HERRVIa,Clupea harengus
HERRVIaVIIbc,Clupea harengus
HERRWCVANI,Clupea pallasii
HMACKCH,Trachurus trachurus
HMACKWA,Trachurus trachurus
HOKIENZ,Macruronus novaezelandiae
HOKIWNZ,Macruronus novaezelandiae
ILLEXNWATLC,Illex illecebrosus
JANCHOPJPN,Engraulis japonicus
JANCHOSETO,Engraulis japonicus
JANCHOTSST,Engraulis japonicus
JMACKPJPN,Trachurus japonicus
JMACKTSST,Trachurus japonicus
KELPGREENLINGORECOAST,Hexagrammos decagrammus
KINGKLIPSA,Genypterus capensis
KMACKGM,Scomberomorus cavalla
KMACKSATLC,Scomberomorus cavalla
LDENTWASG3,Dentex macrophthalmus
LINGCODNPCOAST,Ophiodon elongatus
LINGCODSPCOAST,Ophiodon elongatus
LISQUIDATLC,Loligo pealeii
LNOSESKAPCOAST,Raja rhina
LOBSTERGB,Homarus americanus
LOBSTERGOM,Homarus americanus
LOBSTERSNE,Homarus americanus
LSKAT5YCHATT,Leucoraja erinacea
LSTHORNHPCOAST,Sebastolobus altivelis
MACKNEICES,Scomber scombrus
MEG8c9a,Lepidorhombus whiffiagonis
MENATGM,Brevoortia patronus
MENATLAN,Brevoortia tyrannus
MONK2J3KLNOPs,Lophius americanus
MONKGOMNGB,Lophius americanus
MONKSGBMATL,Lophius americanus
MORWONGSE,Nemadactylus macropterus
MULLQNSW,Mugil cephalus
MUTSNAPSATLCGM,Lutjanus analis
NEPHMEDGSA5,Nephrops norvegicus
NPOUTNS,Trisopterus esmarkii
NROCKBSAI,Sebastes polyspinis
NROCKGA,Sebastes polyspinis
NRSOLEEBSAI,Lepidopsetta polyxystra
NSHRIMPCH,Heterocarpus reedi
NZLINGESE,Genypterus blacodes
NZLINGLIN3-4,Genypterus blacodes
NZLINGLIN5-6,Genypterus blacodes
NZLINGLIN6b,Genypterus blacodes
NZLINGLIN72,Genypterus blacodes
NZLINGLIN7WC,Genypterus blacodes
NZLINGWSE,Genypterus blacodes
NZSNAPNZ8,Chrysophrys auratus
OCTOWA,Octopus vulgaris
OFLOUNECS,Paralichthys olivaceus
OFLOUNNSJ,Paralichthys olivaceus
OFLOUNPAC,Paralichthys olivaceus
OFLOUNSETO,Paralichthys olivaceus
OPOUTNWATLC,Zoarces americanus
OROUGHYCASCADE,Hoplostethus atlanticus
OROUGHYCH,Hoplostethus atlanticus
OROUGHYCR,Hoplostethus atlanticus
OROUGHYNZMEC,Hoplostethus atlanticus
OROUGHYSE,Hoplostethus atlanticus
PACBTUNA,Thunnus orientalis
PANCHCHVX,Engraulis ringens
PANCHNCH,Engraulis ringens
PANCHPERUNC,Engraulis ringens
PANCHSCH,Engraulis ringens
PANDALGOM,Pandalus borealis
PATGRENADIERCH,Macruronus magellanicus
PATGRENADIERSARG,Macruronus magellanicus
PAUANPAU5A,Haliotis iris
PAUAPAU5B,Haliotis iris
PAUAPAU5D,Haliotis iris
PAUAPAU7,Haliotis iris
PAUASPAU5A,Haliotis iris
PCEELCH,Genypterus blacodes
PCODBSAI,Gadus macrocephalus
PCODGA,Gadus macrocephalus
PCODHS,Gadus macrocephalus
PCODWCVANI,Gadus macrocephalus
PERCHEBSAI,Sebastes alutus
PGEODWA,Panopea generosa
PHAKEPCOAST,Merluccius productus
PHALNPAC,Hippoglossus stenolepis
PILCHPJPN,Sardinops melanostictus
PILCHTSST,Sardinops melanostictus
